theme,avg_ret,median_ret,down_ratio,count,market_cap_sum
銅箔基板,-0.02645255301046397,-0.020793695407766044,0.6666666666666666,6,2343909205520.0
PCB設備,-0.022555135651441266,0.012574068088773926,0.5,4,284802767900.0
PCB/載板,-0.019677451083508248,-0.0234375,0.7272727272727273,11,6444358348900.0
光電/LED,-0.019645364297283547,-0.0062893081761006275,0.6666666666666666,3,118558741140.0
資訊服務,-0.018408569988880203,-0.012269938650306678,0.7692307692307693,13,148831063670.0
晶圓代工,-0.013158733743091372,-0.02598926894701542,0.75,4,60373242071970.0
CCL,-0.010182281554890288,-0.004318283290545788,0.5,4,2315175982000.0
數位雲端,-0.008158445700533609,-0.002358490566037763,0.5,12,166065035100.0
連接器,-0.0069873939121172235,-0.013806706114398382,0.6666666666666666,9,4589509019780.0
EMS/代工,-0.0007680027919689062,-0.013806706114398382,0.6666666666666666,3,4755973897610.0
電源,-0.00021269969134910896,0.006993006993007089,0.3333333333333333,3,5812477396100.0
散熱模組,0.0017421873942090901,-0.009345794392523366,0.6666666666666666,15,7616948403685.0
散熱,0.0020711645927923017,-0.001467768991133489,0.5,4,1206998614000.0
光電,0.003401311962691139,-0.010791366906474864,0.5777777777777777,45,1717095008045.0
AI伺服器,0.005270094830499767,-0.011862340585146292,0.7142857142857143,14,18507330742220.0
電子零組件,0.00829853732257879,-0.0016239182566989419,0.5256410256410257,78,2824611916440.0
矽晶圓,0.00943104765716106,0.009146675055392905,0.375,8,700352183100.0
其他電子,0.014932085626823542,-0.0037665814344441384,0.5681818181818182,44,1422143414569.635
電機,0.015326282217554762,0.0066225165562914245,0.42857142857142855,35,1914934450855.0
伺服器代工,0.021038770782335736,-0.013806706114398382,0.8,5,6514900725820.0
電腦週邊,0.021312026088659296,-0.0020483167739112074,0.5185185185185185,54,2916994030700.0
晶圓製造,0.024077877758493134,0.02259887005649719,0.2857142857142857,21,63188623687060.0
半導體,0.02730441460590484,0.014204610785328198,0.375,96,67544565808485.38
伺服器/AI,0.036173568176522786,-0.008378056052474658,0.75,4,2582289789370.0
網通,0.03800138527037502,0.016666666666666607,0.3111111111111111,45,4692879464570.0
電子通路,0.040967376128415715,0.015860465665160084,0.4,20,1318867885000.0
電源供應器,0.04117055335898433,-0.00391389432485334,0.5714285714285714,7,6364405400680.0
記憶體模組,0.04613105634851951,0.0040322580645162365,0.4,5,525378915650.0
太陽能,0.047357192724947615,0.019736842105263053,0.3333333333333333,3,267790740590.0
玻璃陶瓷,0.05033100692713325,0.004237288135593209,0.3333333333333333,3,218983312610.0
記憶體,0.0516217461233236,0.06578947368421062,0.3333333333333333,9,2435431872250.0
砷化鎵,0.053077458723948756,0.048231884057971075,0.0,4,401702549100.0
被動元件,0.05996404159173347,0.06896551724137923,0.26666666666666666,15,7185457998100.0
功率半導體,0.06603896688189698,0.063280147617497,0.0,4,122765290365.0
電源管理IC,0.06690210588601649,0.07468879668049788,0.0,15,6369162422900.757
IC設計,0.06703003589493171,0.06966378997522993,0.07692307692307693,26,9063891991570.758
面板,0.07544246648779869,0.025704981639298796,0.25,8,1146604553790.0
